Product name,Link
OnePlus 7T Pro (Haze Blue),<GET https://www.rentomojo.com/mumbai/electronics/rent-oneplus-7t-pro-haze-blue>
OnePlus 7T ( Frosted Silver ),<GET https://www.rentomojo.com/mumbai/electronics/rent-oneplus-7t-frosted-silver>
Apple iPhone 6S (Space Grey),<GET https://www.rentomojo.com/mumbai/electronics/rent-apple-iphone-6s-space-grey>
Apple iPhone 11 Pro (Midnight Green),<GET https://www.rentomojo.com/mumbai/electronics/rent-apple-iphone-11-pro-midnight-green>
Apple iPhone 11 (Black),<GET https://www.rentomojo.com/mumbai/electronics/rent-apple-iphone-11>
Galaxy Note 10 (Aura Black),<GET https://www.rentomojo.com/mumbai/electronics/rent-samsung-galaxy-note10>
Apple iPhone XR (Black),<GET https://www.rentomojo.com/mumbai/electronics/rent-apple-iphone-xr>
OnePlus 7 Pro (Mirror Gray),<GET https://www.rentomojo.com/mumbai/electronics/rent-oneplus-7-pro>
Nokia 9 Pureview (Blue),<GET https://www.rentomojo.com/mumbai/electronics/rent-nokia-9-pure-view-blue-128gb>
Redmi K20 Pro (Carbon Black),<GET https://www.rentomojo.com/mumbai/electronics/rent-redmi-k20-pro-carbon-black-128gb>
Galaxy S10+ (Black),<GET https://www.rentomojo.com/mumbai/electronics/rent-samsung-galaxy-s10plus>
OnePlus 7 (Mirror Gray),<GET https://www.rentomojo.com/mumbai/electronics/rent-oneplus-7>
Redmi K20 (Carbon Black),<GET https://www.rentomojo.com/mumbai/electronics/rent-redmi-k20-carbon-black-64gb>
Apple iPad 10.2 inch (Grey),<GET https://www.rentomojo.com/mumbai/electronics/rent-apple-ipad-10-2-inch>
"Avita Liber, Intel Core i5, 8th Gen - (8GB / 256GB SSD / Win 10 Home OS / 14-inch / Space Grey)",<GET https://www.rentomojo.com/mumbai/electronics/rent-avita-liber>
Samsung Galaxy A70 (Black),<GET https://www.rentomojo.com/mumbai/electronics/rent-samsung-galaxy-a70>
"HP 15 Notebook , Intel Core i3 processor , 7th Gen - (4GB / 1TB HDD / Win 10 Home OS / 15.6 inch/ Silver )",<GET https://www.rentomojo.com/mumbai/electronics/rent-hp-15-notebook>
Amazon Echo (Black),<GET https://www.rentomojo.com/mumbai/electronics/rent-amazon-echo>
Samsung Galaxy Tab S4 (Black),<GET https://www.rentomojo.com/mumbai/electronics/rent-samsung-galaxy-tab-s4>
boAt AAVANTE Bar,<GET https://www.rentomojo.com/mumbai/electronics/rent-boat-aavante-bar>
"MacBook Air Intel Core i5 processor , 5th Gen - ( 8 GB / 128 GB SSD / Mac High Sierra OS , 13.3 inch, Silver )",<GET https://www.rentomojo.com/mumbai/electronics/rent-macbook-air>
Oppo A5 (Red),<GET https://www.rentomojo.com/mumbai/electronics/rent-oppo-a5>
Samsung Galaxy S9 (Black),<GET https://www.rentomojo.com/mumbai/electronics/rent-samsung-galaxy-s9>
Galaxy Note 8 (Black),<GET https://www.rentomojo.com/mumbai/electronics/rent-samsung-galaxy-note8>
Galaxy Note 9 (Black),<GET https://www.rentomojo.com/mumbai/electronics/rent-samsung-galaxy-note-9>
Vivo V11 Pro (Night),<GET https://www.rentomojo.com/mumbai/electronics/rent-vivo-v11-pro>
Samsung Galaxy A7 (Black),<GET https://www.rentomojo.com/mumbai/electronics/rent-samsung-galaxy-a7>
Google Home,<GET https://www.rentomojo.com/mumbai/electronics/rent-google-home>
Apple iPhone XS (Space Grey),<GET https://www.rentomojo.com/mumbai/electronics/rent-apple-iphone-xs>
Google Pixel 2 (Black),<GET https://www.rentomojo.com/mumbai/electronics/rent-google-pixel-2-black>
"Dell XPS 13 , Intel Core i5 processor , 8th Gen - ( 8 GB / 256 GB SSD / Win 10 Pro OS , 13.3 inch,Silver )",<GET https://www.rentomojo.com/mumbai/electronics/rent-dell-xps-9370>
Apple iPhone 8 (Space Grey),<GET https://www.rentomojo.com/mumbai/electronics/rent-apple-iphone-8>
Apple iPhone X (Space Grey),<GET https://www.rentomojo.com/mumbai/electronics/rent-apple-iphone-10>
Apple iPhone XS Max (Space Grey),<GET https://www.rentomojo.com/mumbai/electronics/rent-apple-iphone-xs-max>
"MacBook Pro Intel Core i5 processor , 7th Gen - ( 8 GB / 128 GB SSD / Mac High Sierra OS,13.3 inch,Space Grey )",<GET https://www.rentomojo.com/mumbai/electronics/rent-macbook-pro>
OnePlus 6T (Mirror Black),<GET https://www.rentomojo.com/mumbai/electronics/rent-oneplus-6t>
"Dell Latitude , Intel Core i5 processor , 8th Gen - ( 8 GB / 500 GB HDD / Win 10 Pro OS , 14 inch, Black)",<GET https://www.rentomojo.com/mumbai/electronics/rent-dell-latitude-3490>
"Lenovo Ideapad 330 , Intel Core i3 processor , 7th Gen - (4GB / 1TB HDD / Win 10 Home OS / 15.6 inch / Platinum Grey)",<GET https://www.rentomojo.com/mumbai/electronics/rent-lenovo-ideapad-330>
Apple iPhone 11 Pro (Space Grey),<GET https://www.rentomojo.com/mumbai/electronics/rent-apple-iphone-11-pro>
Galaxy S10 (Prism Black),<GET https://www.rentomojo.com/mumbai/electronics/rent-samsung-galaxy-s10>
Apple iPad Pro 11 (Space Grey),<GET https://www.rentomojo.com/mumbai/electronics/rent-apple-ipad-pro-11>
Vivo V15 Pro (Topaz Blue),<GET https://www.rentomojo.com/mumbai/electronics/rent-vivo-v15-pro>
Amazon Fire TV Stick with Alexa Voice Remote,<GET https://www.rentomojo.com/mumbai/electronics/rent-amazon-fire-tv-stick-with-alexa-voice-remote>
Oppo F11 Pro (Thunder Black),<GET https://www.rentomojo.com/mumbai/electronics/rent-oppo-f11-pro>
POCO F1 (Graphite Black),<GET https://www.rentomojo.com/mumbai/electronics/rent-poco-f1>
